genus	n_cohorts	direction	min_q	n_sig_q0.1	mean_abs_effect	mean_median_effect	cohort_effects
g__Skermanella	2	up	0.0039021	2	0.109314	0.109314	PRJNA666746(+0.135);PRJNA822685(+0.0836)
g__Sphingobium	2	up	0.0179546	2	0.109314	0.109314	PRJNA666746(+0.135);PRJNA822685(+0.0836)
g__Bradyrhizobium	2	up	0.000403338	2	0.108247	0.108247	PRJNA666746(+0.142);PRJNA822685(+0.0746)
g__Gardnerella	2	up	0.00157225	2	0.108247	0.108247	PRJNA666746(+0.142);PRJNA822685(+0.0746)
g__Aerococcus	2	up	0.0230813	2	0.107067	0.107067	PRJNA666746(+0.13);PRJNA822685(+0.0836)
g__Flexilinea	2	up	0.0388238	2	0.107067	0.107067	PRJNA666746(+0.13);PRJNA822685(+0.0836)
g__Mycobacterium	2	up	0.0057271	2	0.107067	0.107067	PRJNA666746(+0.13);PRJNA822685(+0.0836)
g__Rhizorhabdus	2	up	0.00664124	2	0.107067	0.107067	PRJNA666746(+0.13);PRJNA822685(+0.0836)
g__Acholeplasma	2	up	0.00157225	2	0.104796	0.104796	PRJNA666746(+0.135);PRJNA822685(+0.0746)
g__Anaerococcus	2	up	0.0172614	2	0.104796	0.104796	PRJNA666746(+0.135);PRJNA822685(+0.0746)
g__Azospirillum	2	up	0.00157225	2	0.104796	0.104796	PRJNA666746(+0.135);PRJNA822685(+0.0746)
g__Brucella	2	up	0.00157225	2	0.104796	0.104796	PRJNA666746(+0.135);PRJNA822685(+0.0746)
g__Lachnospiraceae_NK3A20_group	2	up	0.00157225	2	0.104796	0.104796	PRJNA666746(+0.135);PRJNA822685(+0.0746)
g__Parascardovia	2	up	0.00157225	2	0.104796	0.104796	PRJNA666746(+0.135);PRJNA822685(+0.0746)
g__Romboutsia	2	up	0.00157688	2	0.104796	0.104796	PRJNA666746(+0.135);PRJNA822685(+0.0746)
g__Ralstonia	2	up	0.0179546	2	0.100986	0.100986	PRJNA666746(+0.111);PRJNA822685(+0.0912)
g__Finegoldia	2	up	0.0388238	2	0.0911406	0.0911406	PRJNA666746(+0.0911);PRJNA822685(+0.0912)
g__Veillonella	2	down	2.04004e-05	1	1.17109	-1.17109	PRJNA666746(-0.275);PRJNA822685(-2.07)
g__Granulicatella	2	down	9.18705e-06	1	0.961203	-0.961203	PRJNA666746(-0.473);PRJNA822685(-1.45)
g__Neisseria	2	down	0.0114911	1	0.879916	-0.879916	PRJNA666746(-0.211);PRJNA822685(-1.55)
g__Bergeyella	2	up	0.0179546	1	0.769624	0.769624	PRJNA666746(+1.53);PRJNA822685(+0.00621)
g__Fusobacterium	2	up	0.0093789	1	0.697002	0.697002	PRJNA666746(+0.299);PRJNA822685(+1.1)
g__Rothia	2	down	0.00410632	1	0.593055	-0.593055	PRJNA666746(-0.412);PRJNA822685(-0.775)
g__Streptococcus	2	down	0.000109322	1	0.578574	-0.578574	PRJNA666746(-0.23);PRJNA822685(-0.927)
g__Corynebacterium	2	down	0.0230813	1	0.50124	-0.50124	PRJNA666746(-0.971);PRJNA822685(-0.0319)
g__Treponema	2	up	0.0308664	1	0.36399	0.36399	PRJNA666746(+0.152);PRJNA822685(+0.576)
g__Oribacterium	2	down	0.0388238	1	0.353579	-0.353579	PRJNA666746(-0.28);PRJNA822685(-0.427)
g__Parvimonas	2	up	0.0388238	1	0.328656	0.328656	PRJNA666746(+0.0828);PRJNA822685(+0.575)
g__Peptococcus	2	up	0.0180647	1	0.199371	0.199371	PRJNA666746(+0.0889);PRJNA822685(+0.31)
g__Paracoccus	2	up	0.0388238	1	0.188491	0.188491	PRJNA666746(+0.286);PRJNA822685(+0.0912)
g__Enhydrobacter	2	up	0.0388238	1	0.177408	0.177408	PRJNA666746(+0.264);PRJNA822685(+0.0912)
g__Kingella	2	up	0.0795398	1	0.148822	0.148822	PRJNA666746(+0.242);PRJNA822685(+0.0553)
g__Howardella	2	up	0.000150882	1	0.137543	0.137543	PRJNA666746(+0.198);PRJNA822685(+0.0767)
g__Lactobacillus	2	up	0.0104121	1	0.131259	0.131259	PRJNA666746(+0.171);PRJNA822685(+0.0912)
g__Johnsonella	2	up	0.0552776	1	0.125515	0.125515	PRJNA666746(+0.0823);PRJNA822685(+0.169)
g__Hornefia	2	up	0.000774805	1	0.121029	0.121029	PRJNA666746(+0.216);PRJNA822685(+0.0257)
g__TM7a	2	up	0.000747484	1	0.117875	0.117875	PRJNA666746(+0.152);PRJNA822685(+0.0836)
g__Sneathia	2	up	0.00135728	1	0.113357	0.113357	PRJNA666746(+0.152);PRJNA822685(+0.0746)
g__Bulleidia	2	up	0.00266903	1	0.113295	0.113295	PRJNA666746(+0.171);PRJNA822685(+0.0553)
g__Janibacter	2	up	0.0420188	1	0.112765	0.112765	PRJNA666746(+0.142);PRJNA822685(+0.0836)
g__Enterobacter	2	up	0.0605615	1	0.111143	0.111143	PRJNA666746(+0.133);PRJNA822685(+0.0891)
g__Methylorubrum	2	up	0.0388238	1	0.110861	0.110861	PRJNA666746(+0.13);PRJNA822685(+0.0912)
g__Alistipes	2	up	0.0388238	1	0.108422	0.108422	PRJNA666746(+0.133);PRJNA822685(+0.0836)
g__Flavobacterium	2	up	0.00588081	1	0.108247	0.108247	PRJNA666746(+0.142);PRJNA822685(+0.0746)
g__Leucobacter	2	up	0.00157225	1	0.108247	0.108247	PRJNA666746(+0.142);PRJNA822685(+0.0746)
g__Pelospora	2	up	0.00157688	1	0.105869	0.105869	PRJNA666746(+0.135);PRJNA822685(+0.0767)
g__Limosilactobacillus	2	up	0.00367787	1	0.104796	0.104796	PRJNA666746(+0.135);PRJNA822685(+0.0746)
g__Aminipila	2	up	0.00156521	1	0.103403	0.103403	PRJNA666746(+0.135);PRJNA822685(+0.0718)
g__Pyramidobacter	2	up	0.0649479	1	0.102549	0.102549	PRJNA666746(+0.13);PRJNA822685(+0.0746)
g__Mobiluncus	2	up	0.00323962	1	0.102054	0.102054	PRJNA666746(+0.139);PRJNA822685(+0.0649)
g__Tsuneonella	2	up	0.00157225	1	0.0999578	0.0999578	PRJNA666746(+0.135);PRJNA822685(+0.0649)
g__Methylophilus	2	up	0.00677161	1	0.0977108	0.0977108	PRJNA666746(+0.13);PRJNA822685(+0.0649)
g__Faecalibacterium	2	up	0.0388238	1	0.0971921	0.0971921	PRJNA666746(+0.111);PRJNA822685(+0.0836)
g__Lacticaseibacillus	2	up	0.00157225	1	0.0965378	0.0965378	PRJNA666746(+0.135);PRJNA822685(+0.0581)
g__Anaeroglobus	2	up	0.0101273	1	0.0951444	0.0951444	PRJNA666746(+0.135);PRJNA822685(+0.0553)
g__Cupriavidus	2	up	0.00157225	1	0.0951444	0.0951444	PRJNA666746(+0.135);PRJNA822685(+0.0553)
g__Desulfomicrobium	2	up	0.00157225	1	0.0951444	0.0951444	PRJNA666746(+0.135);PRJNA822685(+0.0553)
g__Achromobacter	2	up	0.0507519	1	0.0928974	0.0928974	PRJNA666746(+0.13);PRJNA822685(+0.0553)
g__Desulfobulbus	2	up	0.0455351	1	0.0926741	0.0926741	PRJNA666746(+0.111);PRJNA822685(+0.0746)
g__Sphingomonas	2	up	0.089467	1	0.0915881	0.0915881	PRJNA666746(+0.109);PRJNA822685(+0.0746)
g__W5053	2	up	0.0113786	1	0.090569	0.090569	PRJNA666746(+0.142);PRJNA822685(+0.0392)
g__Pseudoxanthomonas	2	up	0.0388238	1	0.0900543	0.0900543	PRJNA666746(+0.0889);PRJNA822685(+0.0912)
g__Erysipelotrichaceae_UCG-006	2	up	0.0993913	1	0.0878358	0.0878358	PRJNA666746(+0.111);PRJNA822685(+0.0649)
g__Mediterraneibacter	2	up	0.0388238	1	0.0862599	0.0862599	PRJNA666746(+0.0889);PRJNA822685(+0.0836)
g__Peptoniphilus	2	up	0.0440381	1	0.0858085	0.0858085	PRJNA666746(+0.0704);PRJNA822685(+0.101)
g__Odoribacter	2	up	0.00157225	1	0.0824484	0.0824484	PRJNA666746(+0.139);PRJNA822685(+0.0257)
g__Moraxella	2	up	0.0755559	1	0.0817419	0.0817419	PRJNA666746(+0.0889);PRJNA822685(+0.0746)
g__Stenotrophomonas	2	up	0.0388238	1	0.080001	0.080001	PRJNA666746(+0.0688);PRJNA822685(+0.0912)
g__Parabacteroides	2	up	0.0457011	1	0.0762067	0.0762067	PRJNA666746(+0.0688);PRJNA822685(+0.0836)
g__Fretibacterium	2	up	0.0649479	1	0.0725733	0.0725733	PRJNA666746(+0.119);PRJNA822685(+0.0257)
g__Halomonas	2	up	0.0475671	1	0.0661181	0.0661181	PRJNA666746(+0.0911);PRJNA822685(+0.0412)
